buildingID,buildingName,country,locationID,locationName,postalCode,street,longitude,latitude,geoLink,portalLink
BUD02,Graphisoft Park I.,HUNGARY,BUD,Budapest,1031,Zahony utca 7,19.053772,47.55976,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=47.559760, 19.053772&z=16&iwloc=A",https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://5aa059440fe633e218a2c97c7dcacab1
BUD05,(S2 S3),HUNGARY,BUD,Budapest,1031,Zahony utca 7,19.055862,47.561036,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=47.561036 19.055862&z=16&iwloc=A,https://go.sap.corp/BUD05
BUD06,S4 Zahony utca 7,HUNGARY,BUD,Budapest,1031,Zahony utca 7,19.053889,47.559806,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=47.559806 19.053889&z=16&iwloc=A,
BUD07,S5,HUNGARY,BUD,Budapest,1031,Zahony utca 7,19.053889,47.559806,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=47.559806 19.053889&z=16&iwloc=A,
DUB01,SAP SSC-Citywest Business Campus,IRELAND,DUB,"Dublin, IE",D24VF5D,1012 - 1014 Kingswood Avenue,-6.421634,53.294093,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=53.294093, -6.421634&z=16&iwloc=A",https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://4870b4eb50cd5eae68921a08d8acb1b9
DUB02,Citywest Business Campus,IRELAND,DUB,"Dublin, IE",D24Y99R,Kingswood Avenue,-6.426859,53.294649,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=53.294649, -6.426859&z=16&iwloc=A",https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://631c4c4d89cdd754361e452ccf4689d4
DUB03,"Building 5, Waterside",IRELAND,DUB,"Dublin, IE",D24X7FT,City West Business Campus,-6.425515,53.294077,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=53.294077, -6.425515&z=16&iwloc=A",https://go.sap.corp/nxc
DUB05,Waterside 3,IRELAND,DUB,"Dublin, IE",D24WA02,Kingswood Ave,-6.42666,53.294673,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=53.294673 -6.42666&z=16&iwloc=A,https://go.sap.corp/DUB05
DUB45,Claredon Row (Qualtrics),IRELAND,DUB,"Dublin, IE",D02TA43,1 Claredon Row,-6.262454,53.340667,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=53.340667, -6.262454&z=16&iwloc=A",
DUB46,Chatham Court (Qualtrics),IRELAND,DUB,"Dublin, IE",D02TA43,Claredon Row Dublin 2,-6.262459,53.340626,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=53.340626, -6.262459&z=16&iwloc=A",
DUB80,(CallidusCloud),IRELAND,DUB,"Dublin, IE",D02CF97,Mount Street Lower Dublin,-6.241171,53.338142,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=53.338142, -6.241171&z=16&iwloc=A",
GWY02,SAP SSC,IRELAND,GWY,Galway,H91W3P8,Parkmore East Business Park,-8.987643,53.301634,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=53.301634, -8.987643&z=16&iwloc=A",https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://1523e88bfb1baadcfa39184961388408
GWY03,Cliona,IRELAND,GWY,Galway,H91R2E9,"Parkmore East Business Park, Block 1",-8.986479,53.302807,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=53.302807, -8.986479&z=16&iwloc=A",https://go.sap.corp/GWY03
GWY04,Emer,IRELAND,GWY,Galway,H91HXE7,"Parkmore East Business Park, Block 4",-8.986479,53.302807,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=53.302807, -8.986479&z=16&iwloc=A",https://go.sap.corp/GWY04
RAA03,14 Eli Huruvitz St,ISRAEL,RAA,Raanana,4366202,14 Eli Huruvitz St,34.88246084,32.20176073,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=32.20176073435534 34.8824608350958&z=16&iwloc=A,https://go.sap.corp/RAA03
TLV20,"Tel Aviv Azrieli Center, Triangular Tower",ISRAEL,TLV,Tel Aviv,67012,Derech Menachem Begin Rd. 132,"347,916,037",32.0744611,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=32.0744611 34.7916037&z=16&iwloc=A,https://go.sap.corp/TLV20
TLV22,LABS - Menahem Begin 121,ISRAEL,TLV,Tel Aviv,6701203,Menahem Begin 121,34.784871,32.061039,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=32.061039 34.784871&z=16&iwloc=A,https://go.sap.corp/TLV22
GOA21,Torre Lambruschini,ITALY,GOA,Genoa,16129,Piazzo Borga Pila 39,8.9484187,44.4040142,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=44.4040142 8.9484187&z=16&iwloc=A,https://go.sap.corp/GOA21
MIL02,Campus Technologico Energy Park,ITALY,MIL,Milan,20059,"Via Monza 7/a, Edificio 03",9.357169,45.59927,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=45.599270 9.357169&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://3a1d51f01f605da75735b1e2269c4646
ROM02,Via Amsterdam - Edificio Z 29,ITALY,ROM,Rome,144,Via Amsterdam 125,12.450404,41.824194,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=41.824194 12.450404&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://4cb13b2b38616da42533e80544e22163
ROM03,Via Sofia no. 4/8,ITALY,ROM,Rome,144,Via Sofia no. 4/8,12.45119,41.8236,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=41.82360 12.45119&z=16&iwloc=A,
ALA02,Alfaraby Avenue 36,KAZAKHSTAN,ALA,Almaty,50040,Alfaraby Street 36,76.943208,43.22639,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=43.226390 76.943208&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://b30281df2b8eb3f8cebfa2f0423c2dd0
TSE01,Astana Development,KAZAKHSTAN,TSE,Nur-Sultan,50040,Kabanbai batyra Avenue,71.414402,51.135963,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=51.135963 71.414402&z=16&iwloc=A,https://go.sap.corp/ndj
NIA03,Riverside 14,KENYA,NIA,Nairobi,100,Riverside 14,36.803365,-1.270179,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-1.270179 36.803365&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://3218638e2b2635dd97cbc3f15a0c7c43
KWI03,Al Salhia,KUWAIT,KWI,Kuwait City,13095,Muhammad Thunayan al-Ghanim Street,47.9671339,29.3640736,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=29.3640736 47.9671339&z=16&iwloc=A,
RIX01,Kr.Valdemara iela 21,LATVIA,RIX,Riga,1010,Kr.Valdemara iela 21,24.113798,56.956797,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=56.956797 24.113798&z=16&iwloc=A,
VNO01,VERTAS,LITHUANIA,VNO,Vilnius,1116,Gyneju  str. 16,25.264635,54.693102,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=54.693102 25.264635&z=16&iwloc=A,
LUX20,REGUS Bertrange,LUXEMBOURG,LUX,Luxembourg,8070,Rue du Puits Romain 33-39,6.079771,49.60824,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=49.60824 6.079771&z=16&iwloc=A,https://go.sap.corp/LUX20
CMN02,Casanearshore,MOROCCO,CMN,Casablanca,20100,"Shore 10, Plateau 601",-7.642459,33.526117,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=33.526117 -7.642459&z=16&iwloc=A,
AMS45,"Regus, Keizersgracht 555 (Qualtrics)",NETHERLANDS,AMS,Amsterdam,1017 DR,Keizersgracht 555,4.8901,52.36458,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=52.36458 4.8901&z=16&iwloc=A,
HTB02,Amerikastraat 10 - Postbus 3292,NETHERLANDS,HTB,s-Hertogenbosch,5232 DG,Amerikastraat 10,5.339498,51.712722,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=51.712722 5.339498&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://00dd08f8badd8db8deb5d6156115b12f
HTB04,Westeind,NETHERLANDS,HTB,s-Hertogenbosch,5247 JK,Westeind 7,5.360837,51.736148,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=51.736148 5.360837&z=16&iwloc=A,
RTM80,Rotterdam Brainpark (CallidusCloud),NETHERLANDS,RTM,Rotterdam,3062000,Lichtenauerlaan 102-120,4.5353959,51.924092,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=51.924092 4.5353959&z=16&iwloc=A,
LOS02,Mansard,NIGERIA,LOS,Lagos,101001,Bishop Aboyade Cole Street,3.43839,6.435833,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=6.435833, 3.438390&z=16&iwloc=A",https://go.sap.corp/nxe
OSL01,"Lysaker Torg 5, P.O. box 42",NORWAY,OSL,Oslo,1324,"Lysaker Torg 5, P.O. box 42",10.63717,59.912354,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=59.912354 10.637170&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://28aa8c7a3dd90c5a44d45bc26804b72f
TRD02,Bakklandet P-hus,NORWAY,TRD,Trondheim,7014,Nedre Bakklandet 60,10.407287,63.431964,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=63.431964 10.407287&z=16&iwloc=A,
TRD20,(Fedem Technology),NORWAY,TRD,Trondheim,7014,Nedre Bakklandet 58 C,10.406077,63.431933,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=63.431933 10.406077&z=16&iwloc=A,
MCT02,KOM (Knowledge Oasis Muscat),OMAN,MCT,Muscat,,"Rusayl 124, PO BOX 200",58.170167,23.567592,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=23.567592 58.170167&z=16&iwloc=A,https://go.sap.corp/r5y
MCT03,Bait al Reem Building,OMAN,MCT,Muscat,,"Way No 3409, Block 234",58.56575,23.57628,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=23.576280 58.565750&z=16&iwloc=A,
ISB03,ISE Towers,PAKISTAN,ISB,Islamabad,44000,Jinnah Avenue,73.0578,33.7119,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=33.7119 73.0578&z=16&iwloc=A,
KHI20,Dolmen,PAKISTAN,KHI,Karachi,74800,Marine Drive,67.029787,24.802262,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=24.802262 67.029787&z=16&iwloc=A,
KRK45,ul. Pawia 7 (Qualtrics),POLAND,KRK,Krakau,31-155,ul. Pawia 7,19.946289,50.066662,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=50.066662 19.946289&z=16&iwloc=A,
QGL01,Jana Pawla II 14G,POLAND,QGL,Gliwice,44-100,Jana Pawla II 14G,18.667436,50.291117,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=50.2911170000 18.667435999&z=16&iwloc=A,
